Date,Change In Price
2020-01-27,3.20599365234375
2020-01-28,-0.31800079345703125
2020-01-29,1.05999755859375
2020-01-30,1.6780014038085938
2020-01-31,2.1139984130859375
2020-02-03,21.261993408203125
2020-02-04,0.82000732421875
2020-02-05,-17.711990356445312
2020-02-06,9.808013916015625
2020-02-07,3.503997802734375
2020-02-10,-5.7440032958984375
2020-02-11,1.118011474609375
2020-02-12,-2.1160125732421875
2020-02-13,12.4320068359375
2020-02-14,2.5619964599609375
2020-02-18,3.3599853515625
2020-02-19,-1.21600341796875
2020-02-20,-2.50799560546875
2020-02-21,-1.1959991455078125
2020-02-24,-1.0420074462890625
2020-02-25,-9.818008422851562
2020-02-26,-0.7400054931640625
2020-02-27,-10.199996948242188
2020-02-28,7.6580047607421875
2020-03-02,6.4720001220703125
2020-03-03,-11.897994995117188
2020-03-04,-2.8920135498046875
2020-03-05,0.1540069580078125
2020-03-06,2.6959991455078125
2020-03-09,0.5219955444335938
2020-03-10,-2.82000732421875
2020-03-11,-1.1939926147460938
2020-03-12,-4.068000793457031
2020-03-13,-9.676002502441406
2020-03-16,-4.8860015869140625
2020-03-17,-1.9619979858398438
2020-03-18,-5.555999755859375
2020-03-19,10.587997436523438
2020-03-20,-2.134002685546875
2020-03-23,0.13800048828125
2020-03-24,5.540000915527344
2020-03-25,-1.2000045776367188
2020-03-26,-3.8459930419921875
2020-03-27,1.8720016479492188
2020-03-30,-1.6259994506835938
2020-03-31,4.5500030517578125
2020-04-01,-4.488006591796875
2020-04-02,-5.312004089355469
2020-04-03,-5.898002624511719
2020-04-06,1.0080032348632812
2020-04-07,0.089996337890625
2020-04-08,-1.0719985961914062
2020-04-09,2.1819992065429688
2020-04-13,12.158004760742188
2020-04-14,2.183990478515625
2020-04-15,-2.433990478515625
2020-04-16,5.6540069580078125
2020-04-17,-3.6779937744140625
2020-04-20,2.7320098876953125
2020-04-21,-8.680007934570312
2020-04-22,5.6259918212890625
2020-04-23,-4.3939971923828125
2020-04-24,2.8679962158203125
2020-04-27,12.227996826171875
2020-04-28,-5.3040008544921875
2020-04-29,2.0680084228515625
2020-04-30,-14.6619873046875
2020-05-01,-10.735992431640625
2020-05-04,12.038009643554688
2020-05-05,-4.3159942626953125
2020-05-06,1.21600341796875
2020-05-07,0.5659942626953125
2020-05-08,5.1300048828125
2020-05-11,4.1559906005859375
2020-05-12,-3.5179901123046875
2020-05-13,-5.9739990234375
2020-05-14,4.6660003662109375
2020-05-15,1.7639923095703125
2020-05-18,-2.8300018310546875
2020-05-19,-1.4319915771484375
2020-05-20,-0.988006591796875
2020-05-21,2.32000732421875
2020-05-22,-1.0579986572265625
2020-05-26,-3.1259918212890625
2020-05-27,-0.1259918212890625
2020-05-28,-1.5399932861328125
2020-05-29,5.25
2020-06-01,8.019989013671875
2020-06-02,-2.6280059814453125
2020-06-03,-1.0319976806640625
2020-06-04,-5.0999908447265625
2020-06-05,1.5640106201171875
2020-06-08,6.183990478515625
2020-06-09,0.1320037841796875
2020-06-10,6.6339874267578125
2020-06-11,-3.4720001220703125
2020-06-12,-8.944000244140625
2020-06-15,14.621994018554688
2020-06-16,-5.944000244140625
2020-06-17,0.8159942626953125
2020-06-18,0.1920013427734375
2020-06-19,-2.376007080078125
2020-06-22,-1.126007080078125
2020-06-23,0.5800018310546875
2020-06-24,-6.652008056640625
2020-06-25,6.3419952392578125
2020-06-26,-7.00799560546875
2020-06-29,8.0679931640625
2020-06-30,14.662002563476562
2020-07-01,7.32598876953125
2020-07-02,-2.5640106201171875
2020-07-06,18.978012084960938
2020-07-07,-3.030029296875
2020-07-08,-7.824005126953125
2020-07-09,-0.542022705078125
2020-07-10,29.72998046875
2020-07-13,-32.38800048828125
2020-07-14,-7.84002685546875
2020-07-15,0.60198974609375
2020-07-16,4.69598388671875
2020-07-17,-2.522003173828125
2020-07-20,24.798004150390625
2020-07-21,-14.313995361328125
2020-07-22,-1.333984375
2020-07-23,-33.175994873046875
2020-07-24,0.197998046875
2020-07-27,20.920013427734375
2020-07-28,-5.501983642578125
2020-07-29,-0.378021240234375
2020-07-30,-0.102020263671875
2020-07-31,-16.847991943359375
2020-08-03,7.160003662109375
2020-08-04,-1.602020263671875
2020-08-05,-1.593994140625
2020-08-06,-0.25
2020-08-07,-9.365997314453125
2020-08-10,-5.886016845703125
2020-08-11,-4.322021484375
2020-08-12,16.951995849609375
2020-08-13,2.0
2020-08-14,-2.855987548828125
2020-08-17,31.727996826171875
2020-08-18,-2.3800048828125
2020-08-19,2.70599365234375
2020-08-20,28.230010986328125
2020-08-21,1.04400634765625
2020-08-24,-22.416015625
2020-08-25,9.69000244140625
2020-08-26,18.634002685546875
2020-08-27,11.657989501953125
2020-08-28,-16.343994140625
2020-08-31,53.71002197265625
2020-09-01,-27.09002685546875
2020-09-02,-31.6199951171875
2020-09-03,-0.230010986328125
2020-09-04,15.510009765625
2020-09-08,-25.790008544921875
2020-09-09,9.67999267578125
2020-09-10,-14.8699951171875
2020-09-11,-9.220001220703125
2020-09-14,38.66998291015625
2020-09-15,13.20001220703125
2020-09-16,1.8900146484375
2020-09-17,7.829986572265625
2020-09-18,-5.790008544921875
2020-09-21,-3.739990234375
2020-09-22,-5.3699951171875
2020-09-23,-24.800018310546875
2020-09-24,23.990020751953125
2020-09-25,13.8699951171875
2020-09-28,-3.41998291015625
2020-09-29,3.07000732421875
2020-09-30,7.69000244140625
2020-10-01,7.399993896484375
2020-10-02,-6.300018310546875
2020-10-05,2.329986572265625
2020-10-06,-9.80999755859375
2020-10-07,5.42999267578125
2020-10-08,-12.519989013671875
2020-10-09,3.8699951171875
2020-10-12,0.29998779296875
2020-10-13,3.29998779296875
2020-10-14,11.519989013671875
2020-10-15,-1.42999267578125
2020-10-16,-14.769989013671875
2020-10-19,-15.410003662109375
2020-10-20,-9.80999755859375
2020-10-21,-0.05999755859375
2020-10-22,-16.1300048828125
2020-10-23,-1.209991455078125
2020-10-26,8.649993896484375
2020-10-27,0.91998291015625
2020-10-28,-10.46002197265625
2020-10-29,0.8699951171875
2020-10-30,-18.8599853515625
2020-11-02,6.510009765625
2020-11-03,14.16998291015625
2020-11-04,-9.639984130859375
2020-11-05,9.790008544921875
2020-11-06,-6.149993896484375
2020-11-09,-18.239990234375
2020-11-10,-9.730010986328125
2020-11-11,0.67999267578125
2020-11-12,-3.28997802734375
2020-11-13,-2.350006103515625
2020-11-16,-0.839996337890625
2020-11-17,-18.560028076171875
2020-11-18,38.290008544921875
2020-11-19,7.269989013671875
2020-11-20,-8.3800048828125
